Months MM-YYYY;Hard Coal + Imported Coal;Lignite;Liquid Fuels;Naturl Gas +Lng;Renew and Wastes;THERMAL;HYDRO;GEOTHERMAL + WIND +SOLAR;GROSS GENERATION;IMPORTS;EXPORTS;GROSS DEMAND
1.01.2019;5.536.295.445;357.639.539.129;3.100.858.715;557.080.079.942.374;380.409.133.441.655;150.949.093.563.054;766.470.619.829;329.898.544.238.325;260.586.009.969.786;14.259.655;2.519.496;259.492.479.469.786
1.02.2019;5.725.635.742;3.405.390.084;23.365.904;37.222.706.297.412;342.396.714.686.727;132.190.590.744.279;7.180.144.070.525;312.292.242.041.428;235.221.255.653.672;175.964;32.180.791;233.762.816.553.672
1.03.2019;4.825.163.078;3.752.445.632;20.127.542;444.347.934.952.356;385.396.767.349.746;134.266.123.688.733;7.724.998.946.125;369.196.399.422.518;248.435.753.092.235;259.045;26.405.163;248.385.686.792.235
1.04.2019;3.620.000.026;350.035.834;13.207.108;328.317.090.337.739;38.940.746.126.608;108.061.438.386.435;999.192.270.943;301.029.109.806.549;23.808.357.646.139;12.035.713;29.330.274;23.635.412.036.139
1.05.2019;3.363.603.512;3.596.764.445;28.203.967;313.536.391.301.566;405.092.667.783.573;105.290.285.047.992;1.160.787.476.158;287.644.109.520.242;250.133.443.615.817;13.668.344;32.735.996;248.226.678.415.817
1.06.2019;4.139.524.513;3.554.212.207;2.568.463;31.826.211.251.599;377.533.867.947.164;112.795.763.431.071;961.876.852.378;335.974.101.940.497;24.258.085.886.292;15.474.377;15.583.916;24.256.990.496.292
1.07.2019;633.311.811;4.460.860.926;35.646.262;620.588.092.196.932;370.039.323.424.595;174.055.455.433.939;7.647.224.718.071;373.689.356.919.096;287.896.638.306.559;16.411.007;18.068.879;287.730.851.106.559
1.08.2019;6.254.581.002;4.296.369.298;29.519.195;542.244.330.130.493;380.613.363.111.828;163.835.261.594.168;696.606.579.455;436.388.054.754.082;277.134.725.015.076;19.311.766;17.586.547;277.307.246.915.076
1.09.2019;651.636.037;400.666.049.102;2.710.340.743;515.516.428.576.523;377.459.181.913.616;160.827.477.361.288;5.696.944.046.155;363.901.397.258.657;254.187.057.548.704;12.909.748;16.803.277;253.797.704.648.704
1.10.2019;6.564.417.957;422.949.823.367;3.294.021.043;503.716.731.333.275;388.015.516.352.412;162.520.392.307.852;512.091.108;287.569.519.261.391;242.486.455.033.991;12.696.548;26.017.671;241.154.342.733.991
1.11.2019;647.427.712.199.999;407.745.605.746;37.857.156;566.572.332.465.311;41.408.316.954.652;166.693.968.296.596;4.512.893.283.675;281.467.014.673.626;239.969.602.600.709;30.933.981;20.041.202;241.058.880.500.709
1.12.2019;6.668.928.312;4.415.807.372;3.134.005;646.411.507.146.244;413.728.015.005.958;179.939.188.204.684;5.090.321.469.779;314.178.251.733.553;262.260.228.075.829;299.486;18.918.052;263.363.282.875.829
1.01.2020;66.395.705.414;315.398.345.952;24.813.147.996;75.679.996.916.421;44.625.216.697;178.326.190.075.281;5.480.528.118.403;381.872.643.411.145;271.318.735.600.425;12.706.215;227.428.102;270.315.076.080.425
1.02.2020;580.641.621.967;298.216.062.357;18.065.492.734;496.018.507.390.665;42.341.363.167;141.902.410.415.507;717.273.287.125.769;364.721.583.550.999;250.101.897.483.183;283.867.992;184.322.858;251.097.348.823.183
1.03.2020;5.217.509.368.963;294.824.059.944;26.684.343.733;258.247.378.443.055;466.444.950.135;112.413.530.467.015;96.276.066.764;3.885.138.467.599;247.540.981.907.005;307.789.375;190.575.306;248.713.122.597.005
1.04.2020;290.322.891.028;240.678.786.548;36.711.871.135;158.410.957.387.844;454.089.897.825;738.492.811.859.844;9.140.014.900.791;3.838.317.488.887;203.632.605.082.764;163.566.229;163.183.652;203.636.430.852.764
