"years","population","brent_crude_oil_prices_yearly_avg_usd","gdp_current_prices_billion_usd","gdp_per_capita_current_prices_usd","production_national_gwh","gross_demand_gwh","avg_elect_sale_price_c_kwh","energy_demand_per_person"
2002-12-31,65988663,24.96333333,240.191,5453307,129399.5,132552.6,0.388648578,0.00200871777020244
2003-12-31,66867327,28.8825,314.752,7027699,140580.5,141150.9,0.408314308,0.00211090986185226
2004-12-31,67785075,38.23,409.127,8570077,150698.3,150017.5,0.439097876,0.00221313467603304
2005-12-31,68704715,54.41833333,506.186,9879038,161956.2,160794,0.465082778,0.0023403633942736
2006-12-31,69601333,65.14666667,555.126,11411982,176299.8,174637.3,0.44576813,0.00250910855399853
2007-12-31,70468869,72.465,680.489,12576353,191558.1,190000.21,0.413364697,0.00269622902561413
2008-12-31,71320726,96.8475,770.82,14021233,198418,198085.19,0.399958181,0.00277738605745544
2009-12-31,72225639,61.49,648.797,13869330,194812.9,194079.07,0.447507849,0.00268712153588562
2010-12-31,73195345,79.51166667,776.558,15838537,211207.7,210433.96,0.451505931,0.00287496370158512
2011-12-31,74173854,111.2641667,838.508,18801558,229395.1,230306.26,0.41446085,0.00310495204954565
2012-12-31,75277439,111.6516667,880.141,20911569,239496.8,242369.9,0.516437032,0.00321968843812553
2013-12-31,76576117,108.6375,957.504,23783421,240153.95,246356.64,0.448545664,0.00321714719486234
2014-12-31,78112073,99.02333333,938.512,26447923,251962.8,257220.15,0.427219385,0.00329296279206417
2015-12-31,79646178,52.35333333,864.071,29856636,261783.3,265724.35,0.442630093,0.00333631012400871
2016-12-31,81019394,43.54833333,869.28,32908096,274407.75,279286.39,0.700813115,0.00344715476395689
2017-12-31,82089826,54.2475,858.932,38778189,297277.52,296702.12,0.785217195,0.00361435922644056
2018-12-31,82809304,71.06083333,779.694,45836468,304801.88,304166.89,0.624770732,0.00367310042842529
2019-12-31,83481684,64.35833333,759.45,51851756,303897.56,303320.36,0.674723376,0.00363337615470239
2020-12-31,84135428,41.75916667,720.11,60375297,306703.09,306108.97,0.748791815,0.0036382886172517
2021-12-31,84775404,70.6775,817.508,85602137,334723.11,332871.18,0.63854983,0.00392650656079445
