;turkey_total_generation_in_gwh;imports_in_gwh;exports_in_gwh;gross_demand_in_gwh;;;;;
1.01.2002;11704.1;300.8;40.9;11964;;;;;
1.02.2002;9613.9;370.4;33.3;9951;;;;;
1.03.2002;10882.3;371.2;38.6;11214.9;;;;;
1.04.2002;10307.2;337.7;38.8;10606.1;;;;;
1.05.2002;10136.6;287.4;38;10386;;;;;
1.06.2002;10216.9;248.2;30;10435.1;;;;;
1.07.2002;11500.2;261.4;33.1;11728.5;;;;;
1.08.2002;11386.7;291.8;31.7;11646.8;;;;;
1.09.2002;10255.4;282.7;32.6;10505.5;;;;;
1.10.2002;10517.6;287.6;35;10770.2;;;;;
1.11.2002;10991.7;271.4;40.8;11222.3;;;;;
1.12.2002;11886.9;277.6;42.3;12122.2;;;;;
1.01.2003;12111.6;314.7;40.2;12386.1;;;;;
1.02.2003;10662.5;233.5;36.8;10859.2;;;;;
1.03.2003;12053.3;379.7;41.6;12391.4;;;;;
1.04.2003;10872.6;206.6;33.8;11045.4;;;;;
1.05.2003;10949.1;0.0;31.5;10917.6;;;;;
1.06.2003;11112;0.0;26.9;11085.1;;;;;
1.07.2003;12443.9;0.0;28.5;12415.4;;;;;
1.08.2003;12589.2;0.0;27.9;12561.3;;;;;
1.09.2003;11460.7;0.0;46.4;11414.3;;;;;
1.10.2003;11659.6;0.0;80.7;11578.9;;;;;
1.11.2003;11541.3;0.0;101.9;11439.4;;;;;
1.12.2003;13124.7;23.5;91.4;13056.8;;;;;
1.01.2004;12999.6;42.3;100.3;12941.6;;;;;
1.02.2004;11560;36.2;88.3;11507.9;;;;;
1.03.2004;12598.8;37.1;96.5;12539.4;;;;;
1.04.2004;11842.5;32.6;92.8;11782.3;;;;;
1.05.2004;11885.4;26.7;89.9;11822.2;;;;;
1.06.2004;11982.8;27.6;84.6;11925.8;;;;;
1.07.2004;13286.2;45.7;89.1;13242.8;;;;;
1.08.2004;13353.2;47.7;96.3;13304.6;;;;;
1.09.2004;12561.1;47;83;12525.1;;;;;
1.10.2004;12378.4;33.2;85.4;12326.2;;;;;
1.11.2004;12211.6;41.5;102.8;12150.3;;;;;
1.12.2004;14038.7;45.9;135.3;13949.3;;;;;
1.01.2005;13300.3;50;137.9;13212.4;;;;;
1.02.2005;12609.9;44.6;130.6;12523.9;;;;;
1.03.2005;13574.2;45.2;153.7;13465.7;;;;;
1.04.2005;12635.8;38.7;140.6;12533.9;;;;;
1.05.2005;12861.5;41.3;142.9;12759.9;;;;;
1.06.2005;12720.4;37.4;154.9;12602.9;;;;;
1.07.2005;14313.7;88.9;148.2;14254.4;;;;;
1.08.2005;14757.3;94.9;158.2;14694;;;;;
1.09.2005;13378.2;52.6;147.4;13283.4;;;;;
1.10.2005;13503.4;43.8;140.2;13407;;;;;
1.11.2005;13422.1;48.1;148.1;13322.1;;;;;
1.12.2005;14879.4;50.4;195.4;14734.4;;;;;
1.01.2006;14332.5;50;210.4;14172.1;;;;;
1.02.2006;13683;42.7;185.4;13540.3;;;;;
1.03.2006;14616.8;45.8;191.2;14471.4;;;;;
1.04.2006;13397.6;47.2;167.3;13277.5;;;;;
1.05.2006;13996.9;43.5;164.7;13875.7;;;;;
1.06.2006;14473.8;32.7;170.4;14336.1;;;;;
1.07.2006;15588;34.9;170.1;15452.8;;;;;
1.08.2006;16389.5;45.4;167.7;16267.2;;;;;
1.09.2006;14491.3;67.7;163.9;14395.1;;;;;
1.10.2006;13843.2;47.7;155.6;13735.3;;;;;
1.11.2006;15236.2;54;222.3;15067.9;;;;;
1.12.2006;16251;61.6;266.7;16045.9;;;;;
1.01.2007;15873.9;63.519131;251.74021;15685.67892;;;;;
1.02.2007;14669.6;56.13999;177.78573;14547.95426;;;;;
1.03.2007;15801;59.601827;237.95334;15622.64849;;;;;
1.04.2007;14929.3;61.152624;204.6255;14785.82712;;;;;
1.05.2007;15245.8;107.083912;240.35081;15112.5331;;;;;
1.06.2007;15741.2;69.862655;250.64485;15560.41781;;;;;
1.07.2007;17585;99.700366;193.13831;17491.56206;;;;;
1.08.2007;17791.1;102.586549;314.18559;17579.50096;;;;;
1.09.2007;15802.6;60.654596;226.96786;15636.28674;;;;;
1.10.2007;15142.7;56.848827;128.393;15071.15583;;;;;
1.11.2007;16163.9;57.356226;117.8437;16103.41253;;;;;
1.12.2007;16812;69.823314;78.5875;16803.23581;;;;;
1.01.2008;17888.5;65;5.2;17948.3;;;;;
1.02.2008;16523.8;66;85.7;16504.1;;;;;
1.03.2008;16371.1;45.3;171.9;16244.5;;;;;
1.04.2008;15708.2;68.4;124.3;15652.3;;;;;
1.05.2008;16239.1;124.9;80;16284;;;;;
1.06.2008;16558.6;47;78.5;16527.1;;;;;
1.07.2008;18304.4;81.3;77.2;18308.5;;;;;
1.08.2008;18442.5;33.7;84.4;18391.8;;;;;
1.09.2008;16070.8;66.7;92.4;16045.1;;;;;
1.10.2008;14974.6;66.5;124.1;14917;;;;;
