years;hard_coal__imported_coal__asphalite;lignite;fuel_oil;diesel_oil;lpg;naphta;naturel_gas;renew_wastes__waste_heat;thermal;hydro;geothermal__wind;solar;general_total_production
1985;710.3;14317.5;7028.6;53.4;;;58.2;;22168;12044.9;6;;34218.9
1986;772.8;18664.5;6941.3;59.3;;;1340.7;;27778.6;11872.6;43.6;;39694.8
1987;627.8;17025.7;5418.1;77.5;;;2528.1;;25677.2;18617.8;57.9;;44352.9
1988;345.3;12141.3;3248.7;56;;;3239.5;;19030.8;28949.6;68.4;;48048.8
1989;317;19952.5;4209.2;38.3;;;9524;;34041;17939.6;62.6;;52043.2
1990;620.8;19560.5;3920.9;20.8;;;10192.3;;34315.3;23147.6;80.1;;57543
1991;998.4;20563.1;3291;2.2;;;12588.6;38.4;37481.7;22683.3;81.3;;60246.3
1992;1814.6;22756.2;5271.3;1.7;;;10813.7;47.1;40704.6;26568;69.6;;67342.2
1993;1796.1;21963.8;5171.4;3.1;;;10788.2;56.4;39779;33950.9;77.6;;73807.5
1994;1977.6;26257.1;5546.8;2;;;13822.3;50.9;47656.7;30585.9;79.1;;78321.7
1995;2232.1;25814.8;5498.2;273.8;;;16579.3;222.3;50620.5;35540.9;86;;86247.4
1996;2574.1;27839.5;6174.4;365.2;;;17174.2;175.4;54302.8;40475.2;83.7;;94861.7
1997;3272.8;30587.2;6520.7;531.4;105.2;0;22085.6;294;63396.9;39816.1;82.8;;103295.8
1998;2980.9;32706.6;7275.6;308.6;222.2;116.9;24837.5;254.6;68702.9;42229;90.5;;111022.4
1999;3122.8;33908.1;6472.4;747.7;277.5;581.9;36345.9;204.7;81661;34677.5;101.4;;116439.9
2000;3819;34367.3;7459.1;980.6;324;547.1;46216.9;220.2;93934.2;30878.5;108.9;;124921.6
2001;4046;34371.5;8816.6;904;162.1;483.5;49549.2;229.9;98562.8;24009.9;152;;122724.7
2002;4093.1;28056;9505;270.9;34.8;933.1;52496.5;173.7;95563.1;33683.8;152.6;;129399.5
2003;8663;23589.9;8152.7;4.4;2.9;1036.2;63536;115.9;105101;35329.5;150;;140580.5
2004;11998.1;22449.5;6689.9;7.3;33.4;939.7;62241.8;104;104463.7;46083.7;150.9;;150698.3
2005;13246.2;29946.3;5120.7;2.5;33.7;325.6;73444.9;122.4;122242.3;39560.5;153.4;;161956.2
2006;14216.6;32432.9;4232.4;57.7;0.1;50.2;80691.2;154;131835.1;44244.2;220.5;;176299.8
2007;15136.2;38294.7;6469.6;13.3;0;43.9;95024.8;213.7;155196.2;3.585.082.941;511.1;;1.915.581.294
2008;15857.5;41858.1;7208.6;266.3;0;43.6;98685.3;219.9;164139.3;33269.8;1008.9;;198418
2009;16595.6;39089.5;4.439.767;345.8;0.4;17.559;96094.7;340.1;156.923.426;35958.4;1931.1;;194.812.926
2010;19104.3;35942.1;2143.8;4.3;0;31.9;98143.7;457.5;155827.6;51795.5;3584.6;;211207.7
2011;27347.5;38870.4;900.5;3.1;0;0;104047.6;469.2;171638.3;52338.6;5418.2;;229395.1
2012;33324.2;34688.9;981.3;657.4;0;0;104499.2;720.7;174871.7;57865;6760.1;;239496.8
2013;33.524.033;30.262.043;1.192.478;546.348;0;0;105.116.347;1.171.201;171812.45;59.420.468;8.921.035;;240.153.953
2014;39.647.313;36.615.369;1.662.854;482.435;0;0;120.576.031;1.432.593;200.416.595;40644.7;10.884.122;17.4;251.962.817
2015;4.482.987.193;3.133.573.461;98.037.842;1.243.561.302;0;0.000002;9.921.870.095;175.819.399;1.793.664.412;6.714.582.714;1.507.697.499;194.060.202;2.617.833.035
2016;5.370.316.704;3.856.993.069;969.146.532;957.180.621;0;0;8.922.706.193;2.371.630.204;185.798.117;6.723.088.321;2.033.561.054;1.043.138.277;274.407.749
2017;56.781.886;40.694.409;520.619;679.259;0;0;1.104.899.809;2.972.308;2.121.384.619;58.218.462;2.403.129.702;2.889.302;2.972.775.229
2018;6.816.162.035;4.508.700.484;3.288.938.071;0.222327;0;0;9.248.281.648;3.622.921.639;2.096.834.794;5.993.842.558;27.380.182;7.799.798;304.801.885
2019;66.021.905;46.872.219;335.078;0.925;0;0;57.288.201;4.624.175;175.142.503;888.227.756;3.068.245.301;9.249.828.005;3.038.975.596
2020;6.787.364.846;3.793.835.563;3.221.140.057;0.54614;0;0;709.313.331;5.736.627.506;1.828.026.248;7.809.436.885;3.485.591.897;1.095.017.978;3.067.030.924
2021;603.987.471;4.298.333.224;2.808.341.453;0.654035;0;0;111.180.755;777.914.189;2.226.234.644;5.592.680.938;4.222.997.734;139.428.608;3.347.231.119
