date,turkey_total_generation_in_gwh,population,imports_in_gwh,exports_in_gwh,gross_demand_in_gwh,natural_gas_price_usd_Mmbtu,pib_m_dollar,ratio_dollar_tl,coal_elect_prod_gwh,ng_elect_prod_gwh,thermique_elect_prod_gwh,hidro_elect_prod_gwh,geothermal_elect_prod_gwh,wind_elect_prod_gwh,solar_elect_prod_gwh,geothermal_solar_wind_elect_prod_gwh,roll_mean,roll_std
2002-01-01,11704.1,,300.8,40.9,11964.0,2138,53.31720167037473,1.307,,,,,,0.0,0.0,,,
2002-02-01,9613.9,,370.4,33.3,9951.0,2357,49.90016654721072,1.3965,,,,,,0.0,0.0,,,
2002-03-01,10882.3,,371.2,38.6,11214.9,3283,51.714718058018384,1.3475,,,,,,0.0,0.0,,,
2002-04-01,10307.2,,337.7,38.8,10606.100000000002,3795,62.78757122849831,1.341,,,,,,0.0,0.0,,,
2002-05-01,10136.6,,287.4,38.0,10386.0,3217,58.49123516319293,1.4395,,,,,,0.0,0.0,,,
2002-06-01,10216.9,,248.2,30.0,10435.1,3245,53.2057712590308,1.5825,,,,,,0.0,0.0,,,
2002-07-01,11500.2,,261.4,33.1,11728.5,2954,60.58823405399812,1.69,,,,,,0.0,0.0,,,
2002-08-01,11386.7,,291.8,31.7,11646.8,3296,62.81847579831707,1.63,,,,,,0.0,0.0,,,
2002-09-01,10255.4,,282.7,32.6,10505.5,4138,61.86955622432437,1.655,,,,,,0.0,0.0,,,
2002-10-01,10517.6,,287.6,35.0,10770.2,4156,63.10782139188064,1.677,,,,,,0.0,0.0,,,
2002-11-01,10991.7,,271.4,40.8,11222.300000000001,4200,68.78896098419487,1.5385,,,,,,0.0,0.0,,,
2002-12-01,11886.9,,277.6,42.3,12122.2,4789,63.75410630974929,1.66,,,,,,0.0,0.0,,11046.050000000001,704.327397399301
2003-01-01,12111.6,,314.7,40.2,12386.1,5605,58.885573594293604,1.65,,,,,,0.0,0.0,,11081.225,762.4781572132235
2003-02-01,10662.5,,233.5,36.8,10859.2,8101,60.83982243618313,1.597,,,,,,0.0,0.0,,11156.908333333333,680.7918710901482
2003-03-01,12053.3,,379.7,41.6,12391.4,5060,56.63724653487872,1.7155,,,,,,0.0,0.0,,11254.950000000003,768.9138685657376
2003-04-01,10872.6,,206.6,33.8,11045.400000000001,5385,71.73175038653565,1.5657,,,,,,0.0,0.0,,11291.558333333334,745.3087675689542
2003-05-01,10949.1,,0.0,31.5,10917.6,6251,78.59370299524063,1.429,,,,,,0.0,0.0,,11335.858333333335,701.07682169948
2003-06-01,11112.0,,0.0,26.9,11085.1,5411,79.09183209873159,1.42,,,,,,0.0,0.0,,11390.025,648.2775529677243
2003-07-01,12443.9,,0.0,28.5,12415.4,4718,92.07974293956296,1.4234,,,,,,0.0,0.0,,11447.266666666668,708.4176289235747
2003-08-01,12589.2,,0.0,27.9,12561.300000000001,4731,93.49857761461972,1.4018,,,,,,0.0,0.0,,11523.475,777.6406685083961
2003-09-01,11460.7,,0.0,46.4,11414.300000000001,4830,94.30587573764133,1.3898,,,,,,0.0,0.0,,11599.208333333334,710.8762025689084
2003-10-01,11659.6,,0.0,80.7,11578.9,4893,88.67816706841299,1.4844,,,,,,0.0,0.0,,11666.6,661.7780938158576
2003-11-01,11541.3,,0.0,101.9,11439.4,4925,89.94456521786965,1.4635,,,,,,0.0,0.0,,11684.691666666666,651.4140108722031
2003-12-01,13124.7,,23.5,91.4,13056.800000000001,6189,93.84990103832328,1.4026,,,,,,0.0,0.0,,11762.574999999999,755.959373758096
